"I'm not sure.",ちょっとわからないな。
"That feels good.",気持ちいい！
"What happened?",何が起きたの？
"Are you serious?",本気なの？
"Clean your room.",部屋を片づけなさい！
"Are seats available？",空席はありますか？
"What's that for?",それは何に使うの？
"You look frustrated.",なんかイライラしてるみたいね。
"Let's go in.",入ろう。
"He lacks courage.",彼は勇気がない。
"I tried everything.",精一杯やった。
"I'm tired.",疲れた。
"Mind you.",気をつけて。
"That's too bad.",残念だなあ。
"Everyone does it.",みんなやってるよ。
"I can't help it.",しょうがない。
"Order envy.",そっちの方が美味しそう。
"It’s picnic weather!",お天気、最高！
"I forgot!",忘れちゃった。
"I'm exhausted!",疲れちゃった。
"She seems honest.",彼女は正直そう。
"You're lucky.",うらやましい！
"I'd rather not.",やっぱりやめておこう。
"I'd better hurry.",急がなきゃ。
"What a coincidence!",すごい偶然！
"That disappoints me.",それはがっかり。
"That’s stupid.",バカみたい。
"I'm not convinced.",納得できないな
"I will take this.",これにする!
"Let's not.",やめようよ。
"Which one?",どれですか？
"It might rain.",雨がふるかもしれない。
"Let me see.",そうだなあ
"I used to.",前はね。
"Who is that?",それは誰？
"Are you free ?",ひまですか。
"Is that so?",そうなんですか？
"That looks delicious.",美味しそう。
"Help yourself.",ご自由にどうぞ
"Who told you?",誰があなたに言ったの？
"Keep in touch.",連絡を取り合いましょう
"It all depends.",時と場合によります。
"When was that?",それはいつのこと？
"You can't complain.",これで満足すべきだよ。
"That looks expensive.",高そうだな。
"You can do it !",君ならできるよ。
"Please don't rush me.",急がせないで。
"My family is close",私の家族は仲がいい。
"Don't hog the bathroom",トイレを占領しないで！
"That sounds fun.",楽しそう！
"It's gonna be OK.",なんとかなるよ！
"My stomach hurts.",お腹が痛い！
"I'd like just one more.",もう一つ欲しいです。
"I'm glad to see you.",会えてうれしい。
"I'm going home",家に帰ります。
"I have a hay fever.",花粉症です。
"Keep it a secret.",秘密にしてね。
"Keep away from me.",近寄らないで。
"It’s time to wake up.",起きる時間だ！
"Leave it to me!",僕に任せて。
"I have an idea!",じゃあ、こうしましょう。
"You’re killing me.",超おもしろい。
"Smile for the cam.",カメラみて！
"Speak louder, please.",もっと大きな声で言ってください。
"I can't hear you.",聞こえません。
"See you later then.",じゃあ後でね。
"It's your imagination.",気のせいです。
"Let's not go now.",今行くのはやめよう。
"Thanks for coming today.",今日は来てくれてありがとう！
"I'll think about it.",考えておくね
"The sooner the better.",早ければ早いほどいい。
"It's up to you.",あなた次第です。
"What's the difference?",どこが違うの？
"Thank you for everything.",いろいろありがとう。
"It was really close.",もうちょっとだったのにね
"You have red eyes.",目が充血してるよ。
"You'll regret it.",後悔するよ。
"You can take them all.",全部あげる。
"Don't let me down.",がっかりさせないで
"Come and sit over here.",こっちに来て座って。
"Tell me what happened.",何があったのか教えて。
"Don't worry about that.",そのことで悩まないで。
"Just bring yourself.",何も持って来なくていいですよ。
"This is mine, right?",これ、僕のだよね？
"What should I bring?",何を持っていったらいい？
"Are you okay?",大丈夫？
"I have question for you.",聞きたいことがあるんだけど。
"Can I have seconds?",おかわりしてもいい？
"Could you give me a hand?",手伝ってくれる？
"Did you make it ok?",間に合った？
"Do I have to today?",今日やらなきゃダメ？
"Should I call her?",電話したほうがいい？
"Should I cut my hair?",髪を切った方がいい？
"Do you want some more?",もっと欲しい？
"Do you want to go to lunch?",ランチ行かない？
"I have to go home",家に帰らなくちゃ。
"I can do it by myself.",ひとりでできるよ。
"I remember everything.",全部覚えているよ。
"I shouldn't have lied.",嘘なんてつくんじゃなかった。
"I ran into Ken today.",今日、ケンにばったり会った。
"I'm trying my best.",ベストはつくしてます。
"That's all I need.",それだけあれば十分です。
"Do you mean this?",こういうことですか？
"That's a waste of time.",時間の無駄だね。
"We’re going to be late!",遅れちゃうよ！
"I can't eat another bite.",お腹いっぱいで、もう食べられない。
"That was too rough.",ちょっと強すぎるよ。
"It’s not my business",私には関係ないよ。
"Let's do this again.",またやろう。
"I wish I were you.",うらやましいなあ
"It's not my fault.",私のせいじゃない。
"I bumped my head.",頭ぶつけちゃった。
"That makes me sad.",それは悲しいね。
"I need to go home.",そろそろ帰らなくちゃ
"Is that the time?",もうこんな時間？
"I'll brush my teeth.",歯磨きしなきゃ。
"It's going to be ok.",なんとかなるよ。
"One sock is missing.",靴下が片方ない。
"I can't stand it.",もう耐えられないよ。
"The fruit went bad",その果物は腐りました。
"I'll write it down.",メモしておきます。
"It's almost summer!",もうすぐ夏です。
"I can't stop sneezing.",くしゃみが止まらない。
"I'm out of ideas.",アイデアが浮かばない。
"I've got to go now.",もう行かなくちゃ
"I can't stop yawning.",あくびが止まらない。
"Spring makes me sleepy.",春は眠くなる
"Is it still raining?",まだ雨が降っていますか？
"I have a favor to ask.",お願いがあるんだけど。
"I wish I could.",そうできればいいんだけど。
"I don't mean it.",そんなつもりじゃなかった。
"How much is it?",いくらですか
"Let me think about it.",ちょっと考えさせて。
"Thanks for your help",助けてくれてありがとう。
"I agree with your suggestion.",君の意見に賛成だ。
"I'm sorry I forgot.",忘れてごめんなさい。
"I'll tell you as soon as possible.",できるだけ早く話すよ。
"I'm sure it's okay.",きっと大丈夫だよ。
"Don't worry about it.",気にしないで！
"I don't feel like talking right now.",今は話したくないな。
"I hope you're having fun.",楽しめるといいね。
"I'm looking forward to seeing you.",会うのが楽しみ！
"We've reached the halfway point.",半分まできたよ。
"Do you mind moving over just a little?",ちょっと詰めてくれる？
"I'm sorry I'm late.",遅くなってごめんなさい
"How was the day today?",今日はどうだった？
"I'm counting on you.",頼りにしているよ
"If you are busy, you don't have to go there.",忙しいなら、行かなくていいですよ。
"That's not what I meant.",そういう意味じゃないんだけどなー。
"I don't know what to do.",どうしたらいいのかわからない。
"What do you think?",どう思いますか？
"Don't worry, it'll get better soon.",大丈夫、すぐ治るよ。
"Sorry but I won't make it in time.",ごめん、間に合わない。
"Let's grab a bite to eat.",ちょっと食べようか。
"Show me where it hurts.",どこが痛いか見せて！
"What did you just say?",今、なんて言った？
"I see you look very upset.",君すごく怒ってるみたいだね。
"I used to live in Tokyo.",以前、東京に住んでたよ。
"Don't worry about those people.",あんな人たちのこと、気にしないで。
"I think this is better",こっちのほうがいいと思う。
"I'll let you know tomorrow",明日、知らせるね。
"I hope it is sunny.",晴れるといいね。
"I know how you feel.",あなたの気持ち、わかりますよ。
"Let me introduce my family.",家族を紹介するね。
"Could you speak more slowly?",もっとゆっくり話してください。
"You can tell me anything.",何でも言っていいのよ。
"Have you ever seen a Panda?",今までにパンダを見たことある？
"Are you interested in going?",行きたい？
"Can you get me that pen?",ペンを取ってくれる？
"Do you know who did it?",誰がやったか知ってる？
"How many do you need?",いくついるの？
"Could you open the door, please?",ドアを開けてもらえる？
"What's that called?",それってなんて言うの？
"You don't have to eat it all.",全部食べなくていいよ。
"Do you like sushi?",お寿司は好きですか？
"What can I do to fix this problem?",この問題を解決するにはどうすればいいの？
"Who are you talking to?",誰と話してるの？
"Can you hold this a little bit ?",ちょっと持ってくれる？
"Do you have all your stuff ?",忘れ物ない？
"What's that mean?",それってどういう意味？
"Why don't you like him?",どうして彼のことが嫌いなの？
"What sport do you like?",どのスポーツが好き？
"Hey, where are you going?",ねえ、どこいくの？
"Can you show me how to do it?",どうやってやるの？
"What does that word mean?",この言葉の意味はなんですか？
"Would you scratch my back.",背中かいてもらえる？
"What should I give him",彼に何をあげたらいい？
"Where should I throw this away?",これはどこに捨てればいい？
"Do you mean...you want more?",もっと欲しいってこと？
"Which one is yours?",どっちが君の？
"How do you like this?",これどう思う？
"What time do you want me to pick you up?",何時に迎えに行けばいいですか？
"Turn on the air conditioner, please.",エアコンつけてくれる？
"What do you call your cat?",猫の名前は何ていうの？
"What about the weekend?",週末はどうしているの？
"How far is it from here?",ここからどのくらいの距離ですか？
"Can you let him have it for a while?",ちょっと貸してあげられる？
"Tell me how this got here.",どうしてこうなったの？
"Explain to me what happened.",何があったか、話してごらん。
"What are you mad about?",何に怒ってるの?
"I'd like to try a lot of sports",いろんなスポーツに挑戦したい。
"They must make up for lost time.",彼らは出遅れを取り戻さなければならない。
"I think I understand.",分かると思う。
"I can't help but scratching",かゆくて我慢できない。
"I don’t like the taste of Natto.",納豆が苦手なんだ。
"They are probably out.",彼らはおそらくいない。
"I wanna eat something sweet.",何か甘いものが食べたいな。
"I'm not sure how to explain it.",どう説明していいかわからない。
"I wish I spoke English",英語が話せたらよかったのに。
"I'm not a good public speaker.",人前で話すのは苦手。
"It really moved me.",すごく感動した。
"I've got a canker sore.",口内炎ができた
"I have many things to do.",やることがたくさんある。
"Does this bus go to Shibuya?",このバスは渋谷に行きますか。
"I nearly made a mistake.",あやうく間違うところだった。
"Let's not take the bus.",バスに乗るのやめようよ。
"It is going to rain this evening.",夕方には雨になりそう。
"Can do.",できます
"Eat whatever you like.",好きな物を頼みな
"You look like your Daddy.",君のパパみたい
"Who cares?",どうでもいいでしょ？
"Have you seen that movie?",その映画をみたことある？
"I'm interested in cooking.",料理に興味があります
"What a shame!",もういやだ！
"How can I accept that?",そんなこと認めるわけないだろ？
"That's why I need your help.",そういうわけで、君の助けが必要なんだ
"How should I know?",知ってるはずないよ
"I'd rather do it myself.",むしろ自分でやります
"Can you call me back later?",後でかけなおしてもらえますか？
"She used to be pretty.",彼女、可愛かったんだけどね
"I'm always on your side.",いつでもあなたの味方です
"That's how the world is.",世の中、そんなものです
"I'm not in.",今、留守にしてます
"I'm on diet.",ダイエット中です。
"I'm ready to go.",いつでも出かけられます。
"It's time to say goodbye.",サヨナラの時間です
"Every time I go out, it rains.",出かけるたびに、雨がふる
"I have to agree with him.",彼に同意しなくてはいけない
"You don't have to work overtime.",残業する必要はないよ
"You don't need to push yourself.",無理をする必要はないよ
"This is perfect!",最高じゃん！
"I prefer that one.",あっちの方が好き
"I'm choosy.",好みにうるさいんだ
"I'm crazy about Spanish food.",スペイン料理に目がない
"I have come to like sushi.",寿司が好きになった
"I hate it.",大嫌い
"I'm not into it.",興味ないよ
"I can't see the appeal.",どこがいいのかわからない
"You have a bad taste.",趣味わるい
"No objection!",異議なし！
"Sounds alright to me.",いいんじゃない
Absolutely!,その通り！
"I'm against it.",反対だな
"It won't work.",それは動きません。
"I wouldn't do it if I were you.",僕ならやらない
"Let's compromise.",妥協しよう
"Let's wait and see.",様子を見てみましょう
"It's too soon.",時期尚早だ
"I need more time.",もっと時間が必要だ
Maybe.,たぶんね
"Anything you say.",君次第だよ
"I don't know what's what.",何がなんだかわからない
"I couldn't care less.",全然気にならない
"It doesn't matter.",どれでもいいよ
"I trust you.",信頼しているよ
"Take my word.",信じてよ
"That sounds fishy.",うさんくさい
"I have a bad feeling about it.",嫌な予感がする
"That's not the point.",そのことじゃないよ
"Who's the blame?",君のせいだろう？
"I have a problem.",ちょっと困ってるんだよ
"I have a complaint.",不満があります。
"Big deal.",それがどうした？
"Just a moment.",ちょっと待って
"Do you read me?",聞いてる？
"Thank you for your advice.",アドバイスありがとう
"Excuse me for a moment.",すみません、ちょっと失礼します
"What's up over there?",向こうで何があるのかしら？
"You look terrible.",ひどく疲れてるようだね
"Was everything ok?",全て問題なかった？
"How was your test?",テストはどうだった？
"How's it going so far?",ここまでの調子はどう？
"How did you do that?",どうやったんですか？
"Take care.",気をつけてね
"I'm glad to know you.",知り合えてうれしいよ
"How come you are here.",どうしてここにいるの？
"Let me think about it for a while.",ちょっと考えさせて
"How about it?",どうですか？
"Why don't you do it yourself?",自分でやればいいじゃない？
"Would you say that again?",もう一度、言ってもらえますか？
"I hope not.",そうじゃないといいけど
"Nice to meet you.",お会いできてうれしいです
"I have to go now.",もう行かないと
"Meet me at ten.",10時に迎えに来て
"I need to talk to you.",お話があります
"You don't have to worry.",心配しなくていいよ
"I need to concentrate.",集中させて
"Should I bring anything?",何か持っていきましょうか？
"What do I need to do next?",次は何をすればいいですか？
"I'd like to say something.",言いたいことがあります
"Why should I?",どうして私が？
"Please let me pass.",通っていいですか
"Pass me the salt.",塩をとって
"I can't help feeling anxious about it.",どうしてもそれが心配です
"I'm dying for a cold drink.",冷たい物が飲みたくてたまらない
"I'm willing to go with you.",喜んでお供します
"I wonder why...",どうしてなんだろう
"If only I knew.",知ってればよかったんだけど
"Don't rush me.",急かさないで
"Do you know why he's angry.",どうして彼が怒っているか知ってますか？
"What do you think of that?",いったいどういうつもり？
"Don't be like that.",そんなことしちゃだめよ
"I don't feel like going out today.",今日は外出する気がしない
"Nature's calling.",トイレに行きたくなっちゃった
"Tell me about it.",それについて話して
"Let's call it a day.",今日の仕事はおしまいにしよう
"Call the police!",警察を呼んで！
"I told you a hundred times.",何回も言ったでしょ
"I know you.",お見通しだよ
"I should have told you.",言っておけば良かった
"Don't pull my leg.",からかうなよ
"That's what I told you.",だから言ったじゃない
"It doesn't matter so much.",さほど問題ではないですよ
"Don't drag me down.",足を引っ張らないで
"That's what I thought.",まさにそう思っていました。
"I would often play soccer.",昔はよくサッカーしたもんだよ
"I've never thought of that.",そんなこと考えたこともない
"I'm in!",よし、のった！
"It seems lucky.",運がいいみたい
"I'm sure you like it.",きっと気にいると思うよ
"I'm used to her complaints.",彼女の愚痴にはなれているよ
"I'm tired of his attitude.",彼の態度にはうんざりしている
"I'm not used to public speaking.",人前で話すのに慣れてません
"I'm eager to see you again.",ぜひまた会いたいです
"I'm ready to order.",注文お願いします。
"It all depends on you.",それはあなた次第です
"I have no choice but to try.",やってみるしかないよ
"Do you wanna get a bite?",軽く食べたい？
"I need to lose some weight.",ちょっと痩せなきゃ
Cheers.,乾杯！
"Thanks a lot.",どうもありがとう
"It was great help.",助かったよ
"The feeling 's mutual.",お互い様だよ
"That 's okay.",いいってことよ
"All my fault.",私のせいなの
"Can you forgive me?",許してくれる？
"Let me apologize.",謝らせて
"It's no big deal.",大したことではありません。
"It wasn't your fault.",あなたのせいじゃないよ
"Apologies accepted.",もういいよ
"Sorry isn't enough.",ごめんじゃすまないよ
"Do me a favor.",お願いがあるんだけど
"Won't you reconsider?",考え直してくれない？
"With pleasure.",喜んで
"Sorry, I'm tied up now.",ごめん手が離せないよ
"Don't give up.",あきらめないで
"Nice going!",やるなあ！
"That 's really something.",たいしたもんだよ
"I think highly of you.",よくやってくれた
"I admire you.",感心するよ
"I'm proud of you.",あなたはすごいわ
"It came out great.",うまくいったね
"I appreciate the compliment.",褒めていただきありがとうございます。
"I'm not quite there yet.",まだまだこれからよ
"It was pure luck.",運が良かったの
"Calm down.",落ち着いて
"Time will tell.",時がたてばわかるよ
"No need to panic.",あわてないで
"Tell me what you think.",どう思う？
"I have a confession.",言わなくちゃいけないことがあるの
"I'll tell you the truth.",本当のこと言うよ
"I'm sorry about that.",お気の毒に
"I don't know what to say.",なんと言ったらいいのか・・
"It happens.",よくあることだよ
"It's not your fault.",君のせいじゃないよ
"I don't think it's that serious.",たいしたことじゃないよ
"Behind you.",後ろをみて
"It's not worth crying over.",泣くほどのことはないよ
"Hold on tight.",しっかりつかまって
"Be prepared.",覚悟しておいて
"To your right!",右をみて
"Think twice.",よく考えて
"Act your age.",歳を考えて
"That's rude.",それは失礼だよ
"Behave yourself.",お行儀良くしなさい
"You have a bad attitude.",態度が悪いよ
"Let go!",放してよ
"Do something!",なんとかして
"No more excuses.",言い訳はもう結構
"Stop nagging!",しつこいなあ
"It's all over.",もう済んだことだよ
"Who asked you?",聞いてないけど
"I mean it.",本気だよ
"I'll give it a go.",試しにやってみるよ
"Now or never.",やるなら今だよ
"Why not take a chance?",やるだけやってみたら
"The sooner, the better",早ければ早いほどいいです。
"It's deal.",それで決まりだ。
"There's no turning back.",もう後には引けないよ
"I'm too indecisive.",優柔不断なんだよ
"Don't tell anyone.",誰にも言わないで
"I won't say a word.",誰にも言わないよ
"You have a big mouth.",口が軽いのね
"I promise.",約束するよ
"It slipped my mind.",うっかり忘れました。
"I have a terrible memory.",物覚えが悪い
"It's on the tip on my tongue.",ここまで出かかってるんだけど
"That reminds me.",それで思い出した
"I'm so upset.",私、ほんとに怒ってます
"I've never felt this way",こんな気持ち初めて
"I'm afraid of dogs.",犬がこわいの
"I'm afraid of getting older.",歳をとりたくないの
"I did it!",やった！
"I'm so pleased.",ほんとにうれしい
"I'm walking on air.",ウキウキする
"I'm so touched.",感動した
"I was impressed.",感心したよ
"It will still in my heart.",一生忘れない
"I respect you.",尊敬するよ
"I'm really looking forward to it.",待ち遠しいなあ
"Thank heavens!",ありがたいよ！
"What a relief.",ああ、ほっとした
"My heart is pounding.",ドキドキする
"It's driving me crazy.",腹立つな
"Leave me alone.",ほっといてよ。
"Give me a break.",やめてよ
"Don't fret.",イラつかないで
"What's eating you?",何が気に入らないの？
"This is serious.",ただごとじゃないよ
"What a hassle.",めんどくさいなあ
"It can't be.",ありえない
"The game is up.",もうだめだ
"I'm scared.",こわいよ
"It's over my head.",おてあげだ
"That's gross!",気持ち悪い！
"I've got goose bumps.",鳥肌が立った
"It's a no-win situation.",最悪
"I feel empty.",むなしいよ。
"It doesn't matter any more.",もうどうでもいいよ
"Good afternoon.",こんにちは
"Do you have a sec?",ちょっといいですか？
"Are you free now?",今暇ですか？
"Sorry to interrupt you.",邪魔して悪いんだけど・
"Guess what.",ねえ知ってる？
"Listen to me!",聞いて！
"Are you ready for this?",心の準備はできてますか？
"Tell me something.",何かいってよ
"Let's have a chat.",おしゃべりしよう
"I'm all ears.",聞いてるよ
"Tell me more about it.",もっと詳しく教えて
"I hope so.",そうだといいな。
"I see.",わかった
"Why not?",そうしよう
"Oh my!",ええ！
"What a surprise!",ええ、びっくり
"Are you kidding?",冗談でしょう？
"Don't be silly.",ふざけないで。
Unbelievable!,信じられない！
"That's stupid.",ばかばかしい
"How boring!",つまらないの！
"Say that again.",もう一回言って
"What does it mean?",どう言う意味？
"I didn't quite catch that.",よくわからなかったよ
"Can you speak more slowly, please?",もう少しゆっくり話してください
"I'm totally lost.",全然わかんない
"Are you with me?",わかってますか？
"Is that clear?",わかった？
"Does this make sense?",意味わかる？
"I said that, didn't I ?",前にも言いましたよね
"It could be.",そうかもね
"Yes and no.",どうかなあ
"Beats me.",見当もつかないよ
"It's all Greek to me.",ちんぷんかんぷん
"Let's change the subject.",話題を変えよう
"Enough already.",もうたくさんよ
"Let's drop the subject.",この話はこれまで
"You've already told me.",それもう聞いたよ
"How's it going?",調子はどう？
"Pretty good.",元気だよ
"Nothing much.",変わりないよ
"How is it going?",調子はどうですか？
"I wasn't expecting to see you.",会えると思わなかった
"You look great.",元気そうだね
"I'm sorry for losing touch.",連絡しなくてごめんね
"I've got to go.",行かないと
"I'll miss you.",寂しくなるよ
"You must come back.",きっと帰ってきてね
"Give me a call sometime.",たまには電話してね
"Drop me a line.",連絡してね
"See you again soon, I hope.",すぐに会えるといいな
"Nice talking to you.",話せて良かった
"Good luck!",幸運を！
"Have a nice day!",よい1日を。
"You, too.",あなたもね
"It's getting cloudy.",曇ってきた
"It's sprinkling.",雨がポツポツ降ってきた
"See you soon.",じゃ、また後で会おう。
"I have been sick for a week.",この一週間、ずっと病気でした。
"I have the same dress.",私も同じ服を持っています。
"I don't have to take this.",こんなのもらう必要はありません。
"Where have you been?",どこに行っていたのですか？
"You have a right to know her secret.",君は彼女の秘密を知る権利があります。
"I shouldn't have skipped class.",授業をさぼるべきじゃありませんでした。
"Have you seen my son?",私の息子を見ませんでしたか？
"It doesn't have sugar.",砂糖は入っていません。
"Have you been here for a whole time?",ずっとここにいたのですか？
"Get out of here.",出て行ってください。
"You should get some rest.",少し休んだほうがいい。
"Help me get ready for the party.",パーティーの準備を手伝ってください。
"Get into your dress.",ドレスに着替えてください。
"Get away from my brother.",弟から離れてください。
"Let me get your jacket.",あなたの上着を持ってきます。
"I have to get to the restaurant.",レストランに行かないといけません。
"Let me get this straight.",はっきりさせましょう。
"Do I get a chance?",チャンスはありますか？
"Would you get me a seat?",席を取ってくれませんか？
"Go away from me.",あっちへ行ってください。
"You should go now.",もう行ってください。
"Let's go to the beach.",ビーチに行きましょう。
"Go get me my shoes.",靴を取ってきてください。
"I want to go travel.",旅行に行きたいです。
"Go ahead and leave me.",私を置いて行ってください。
"Is there a way to go about it?",何か方法はありますか？
"Don't go after her.",彼女を追いかけてはだめです。
"We should go out from the exit.",出口から出ましょう。
"Let's go into the wood and hind.",森に入って隠れましょう。
"The movie finally came to the climax.",その映画はやっとクライマックスを迎えた
"Come along with me.",一緒に来てください。
"Come on, nobody cares anyway.",どうせ誰も気にしません。
"He doesn't want to come out of the closet.",クローゼットから出たくないそうです。
"Come over to my house",私の家に遊びに来ませんか。
"Come and join my cooking class.",私の料理教室に来てください。
"Can you come back home?",家に帰って来てくれますか？
"Sit here so you can come up with an idea.","ここに座ってれば アイデアが浮かびますよ。"
"Come help me build this.",これを作るのを手伝いに来てください。
"You should come back home.",家に戻ってくればいいと思います。
"I will take that offer.",その申し出に応じます。
"She will take a day off.",彼女は一日休みを取ります。
"This bus will take you to the station.",このバスなら駅まで行けます。
"Don't take it so seriously.",そんなに深刻に考えないでください。
"I can't take after your baby.",あなたの赤ちゃんの世話はできません。
"I am letting him take over from here.",ここからは彼に任せます。
"Take back what you said.",言ったことを取り消してください。
"Please take in what I just said.",私が今言ったことを受け止めてください。
"You should take the test.",テストを受けた方がいいと思います。
"I wouldn't take it back.",撤回しません。
"You should give it a try.",試してみるといいと思います。
"I will give up being an actor.",俳優になるのを諦めます。
"Please give me a chance.",チャンスをください。
"She wants to give back the money.",彼女がお金を返したいようです。
"I was going to give in my homework.",宿題をあきらめるつもりでした。
"Would you give me a direction?",指示を仰いでください。
"I will give you a call.",あなたに電話をかけます。
"Give me all the information you know.",知っている情報をすべて教えてください。
"I don't give a damn.",別にかまいません。
"He will give you a visit.",彼が訪問してくれます。
"Do you want to know?",知りたいですか？
"You will have to do without her help.",彼女の助けなしでやっていくんです。
"Let's do it over again.",もう1度やり直しましょう。
"Do you want to be in charge?",主導権を握りたいのですか？
"I do my workouts in the mornings.",毎朝運動しています。
"Just do as she says.",彼女の言うとおりにしてください。
"Do you like reading?",読書は好きですか？
"Let me do that for you.",私がやってあげるわ。
"I do understand his feelings.",彼の気持ちは理解できます。
"You didn't have to do that.",そんなことしなくていいのです。
"Let's be together.",一緒にいましょう。
"Please be safe.",どうか無事でいてください。
"Did you ever want to be a hero?",ヒーローになりたかったことはありますか？
"Please don't be like that.",そんな態度をとらないでください。
"She must be happy.",彼女はきっと喜ぶと思います。
"I'll be back home at eight.",8時には帰ります。
"I just wanted to be loved.",愛されたかっただけなんです。
"I want everyone to be back in an hour.",皆さん、1時間後に帰ってきてください。
"That will be a great film for our first date.",最初のデートには最適な映画です。
"Don't be so angry.",そんなに怒らないでください。
"She put on her best dress for the wedding",彼女は結婚式のために最高のドレスを着ました。
"Please put out your cigarette.",タバコの火を消してください。
"Please put that down in writing.",それを文書で書いてください。
"Will you put the folder back on the shelf?",そのフォルダを棚に戻してくれませんか。
"I'll put you through to him.",あなたに彼を紹介します。
"Don't put things off until it's too late.",手遅れになるまで物事を先延ばしにしてはいけません。
"You should put more effort in.",あなたはもっと努力すべきです。
"Put away your toys",おもちゃを片付けてください。
"You should put me in a higher class.",もっと上のクラスに入れてください。
"You're the one who put me in this situation.",あなたのせいで、こんなことになりました。
"Don't forget to bring your homework.",宿題を忘れずに持ってきてください。
"You should bring it home.",持って帰るべきだと思います。
"Bring me a glass of wine.",ワインを持って来てください。
"I'm not going to bring your pen.",君の分のペンは持ってきません。
"Why did you bring your kids?",なぜ子供を連れてきたのですか？
"You can just bring your books next time.",本なら今度持ってきてください。
"You will just bring disaster.",君はトラブルを持ってくるだけです。
"I'll bring it with me.",私が持ってきます。
"Bring it on.",かかってこいよ。
"Did you bring a towel?",タオルは持ってきましたか？
"I'll just have to put on my make-up.",あとは化粧するだけです。
"Please make it up to you",埋め合わせさせてください。
"Don't make it up.",嘘をつかないでください。
"This news made me sick.",このニュースで気分が悪くなりました。
"Did you make it to school?",学校には行けましたか？
"I make a lot of mistakes.",私はよく失敗します。
"Please make up your decision.",早く決断してください。
"I can make a pizza for you.",ピザなら作れますよ。
"Just make it happen.",やるしかありません。
"They like to make fun of people.",人をからかうのが好きなんです。
"It's your turn.",あなたの番です。
"Please turn in your assignment.",課題を提出してください。
"She will turn into a monster.",彼女は怪物に変わります。
"Turn around and let me see your dress.",後ろを向いて、ドレスを見せてください。
"Can you turn off the light?",電気を消してもらえますか？
"Turn off your cell phone.",携帯電話を切ってください。
"How can you turn out dressed like that?",よくそんな格好で来ましたね。
"Don't turn away.",目をそらさないでください。
"Would you turn up the TV?",テレビの音量を上げてください。
"Turn it over.",それを裏返してください。
"Speak louder、 please.",もっと大きな声で話してください。
"I can speak French.",私はフランス語が話せます。
"I will speak for the school.",私は学校を代表して発言します。
"Come on and speak to me.",さあ、話してみてください。
"This book really speaks to me.",この本は本当に私に語りかけてきます。
"Go and speak to him.",彼と話してきなよ。
"Why are you speaking to me like that?",どうしてそんな風に話しているのですか？
"I was so surprised to hear her speak.",彼女が話しているのを見て驚きました。
"Who was the first to speak?",最初にしゃべったのは誰ですか？
"Don't speak at once.",一度にしゃべらないでください。
"Please say that again.",もう一度言ってください。
"It was sad to say goodbye.",さよならを言うのは悲しいです。
"Don't say that to me.",そんなこと言わないでください。
"What you just said, is a lie.",あなたが今言ったことは、嘘です。
"But I need to say you're wrong.",でも、あなたが間違っていると言わざるを得ません。
"I can't say anything.",何も言えません。
"I hate it when he says that.",あんなことを言う彼は嫌いです。
"Let's say, he was saying the truth.",仮に彼が本当のことを言ったとしましょう。
"Why didn't you say anything?",なぜ何も言わないのですか？
"He didn't say that.",彼はそんなこと言っていません。
"Let's tell him together.",一緒に伝えましょう。
"I can't tell apart from that twins.",あの双子は見分けられません。
